image1_path,image2_path,clip_similarity,dino_similarity,pair_type
00000803_ef0c6b34a6fd36a4d1c961282ce75611,00000875_ecb4d7799dc2498b18307eccb8378423,0.7836250066757202,0.46063345670700073,high_clip_low_dino
00000803_ef0c6b34a6fd36a4d1c961282ce75611,00000958_c0048ae8c4cbbd830deb68a9886df869,0.7252791523933411,0.3909086585044861,high_clip_low_dino
00000508_d0cddee1b42ef1fa99aff5fddc899bfa,00000803_ef0c6b34a6fd36a4d1c961282ce75611,0.7004141211509705,0.27174368500709534,high_clip_low_dino
00000416_d167f65f74121a25c7f5baf626f2b965,00000803_ef0c6b34a6fd36a4d1c961282ce75611,0.8121567964553833,0.3786647915840149,high_clip_low_dino
00000106_a7721dfe025704599cca40c6d392be1b,00000522_e2a676a5ded9f2b0ab28ee60ae794651,0.7026893496513367,0.2869223654270172,high_clip_low_dino
00000873_904494be85225ec23fdf139be2924c23,00001002_9c5792453e087326b33f8b18394a83b7,0.7280434966087341,0.3218885362148285,high_clip_low_dino
00000276_c499ce2a448e16ef8bd7e5141195d40c,00000873_904494be85225ec23fdf139be2924c23,0.7051293253898621,0.16949814558029175,high_clip_low_dino
00000841_624879a7fffdfc2d1a87092f1cc8ca32,00000873_904494be85225ec23fdf139be2924c23,0.7995372414588928,0.43316975235939026,high_clip_low_dino
00000157_3e402cd28cf0f30663a073dd2bfaf727,00000970_c5965ae67189b6de5ac263b67a668f28,0.7036016583442688,0.29619157314300537,high_clip_low_dino
00000157_3e402cd28cf0f30663a073dd2bfaf727,00000347_18aebc21b1e268dff942b2e99fcf8af9,0.7036016583442688,0.29619157314300537,high_clip_low_dino
00000505_9f4ca562896e50e6a64000603b612051,00000868_ca60f3ca53f61781694a7d41451484d4,0.7835577726364136,0.3837755024433136,high_clip_low_dino
00000051_439756df4f5a1b01e0a831623e2a5683,00000430_850835269a2a372d56bdbc6b68043396,0.7166309356689453,0.49309539794921875,high_clip_low_dino
00000067_0d194586f3371eea6852ce6dc8e71046,00000157_3e402cd28cf0f30663a073dd2bfaf727,0.7036016583442688,0.29619157314300537,high_clip_low_dino
00000156_e93acf76cc8ec547c2d52a3315f60772,00000986_35ee80171b4758dd8e4b4295ca3e7e25,0.7703948020935059,0.42575347423553467,high_clip_low_dino
00000157_3e402cd28cf0f30663a073dd2bfaf727,00000583_2b5998cd1cef9f3444a42eece615a754,0.7036016583442688,0.29619157314300537,high_clip_low_dino
00000592_51c5d8fca9634f76a285bfe661c62e20,00000971_248b27e7c6ef9444a5e669d85af43d4b,0.7284907698631287,0.4735649824142456,high_clip_low_dino
00000194_ab588f80cc699f676f408ddb38358fa5,00000701_a0ff4291fcb3af9275aac357c4679341,0.7410122156143188,0.39938268065452576,high_clip_low_dino
00000435_6b6c73e4c79a08ee323f045b374b1b5b,00000655_4944ecc5efbb3463803f3f8115e890f4,0.7022753953933716,0.430783212184906,high_clip_low_dino
00000157_3e402cd28cf0f30663a073dd2bfaf727,00000731_508706840185db73af6347b59780532f,0.7036016583442688,0.29619157314300537,high_clip_low_dino
00000583_df9dccefac2f926e138def1ac7c39916,00000701_a0ff4291fcb3af9275aac357c4679341,0.7301236987113953,0.4596827030181885,high_clip_low_dino
00000404_93be0aa243e337ece3a2918279965e20,00001022_89735e28869e1e638aa60a29e13e76b2,0.711227297782898,0.3766663670539856,high_clip_low_dino
00000752_98bdca192136149cb64cb2c918483c6e,00000854_402f09053d5e3f75bf179cf84be29732,0.7060218453407288,0.47116804122924805,high_clip_low_dino
00000585_05f16a7dd10aa8deb31e4f6a5d1677de,00000703_e0d45fe4195bec8972fb329c7e2c8a6f,0.7071317434310913,0.4447633624076843,high_clip_low_dino
00000193_fbc8ae8f3b622682633388c82533ead8,00000585_05f16a7dd10aa8deb31e4f6a5d1677de,0.7601723074913025,0.47787901759147644,high_clip_low_dino
00000358_3969f320d562079bd2ac8a06fb2bbe64,00000585_05f16a7dd10aa8deb31e4f6a5d1677de,0.7794491648674011,0.48381295800209045,high_clip_low_dino
00000156_e93acf76cc8ec547c2d52a3315f60772,00000585_05f16a7dd10aa8deb31e4f6a5d1677de,0.7624642252922058,0.4436264932155609,high_clip_low_dino
00000482_48c6cacd57535e46a5074b580b61ade7,00000585_05f16a7dd10aa8deb31e4f6a5d1677de,0.7519298195838928,0.49039754271507263,high_clip_low_dino
00000188_a60100c04e6f05f040d5dda84fce7e3a,00000326_bf45cb85f1811fcf54e8d34a0b781928,0.7205992937088013,0.35464370250701904,high_clip_low_dino
00000309_4e6995650ffe6cfbe903377895855e21,00000639_a2a19b65c63ae9fde912d2526e4913ad,0.7024978399276733,0.39116984605789185,high_clip_low_dino
00000157_3e402cd28cf0f30663a073dd2bfaf727,00000191_d679aad52a8d8555d406dad08e60761f,0.7036016583442688,0.29619157314300537,high_clip_low_dino
00000508_d0cddee1b42ef1fa99aff5fddc899bfa,00000939_e699c43c380c7de15cc351794a3e3300,0.7636456489562988,0.4219264090061188,high_clip_low_dino
00000211_c6f63eaf1d86adbc515d7443f5891704,00000269_eab3616cb9001314f7c57a96a43f3c38,0.7001778483390808,0.4365004301071167,high_clip_low_dino
00000498_3c24d60666eff22f85ac45d29cb6676c,00000908_c5e3296025128a9937a742cee0f8ac10,0.7438063025474548,0.49504244327545166,high_clip_low_dino
00000061_aa91199b86c241ed1a6944f14ad5f403,00000313_d3879a73fe4e1489818291642436a4e7,0.23962853848934174,0.8339784741401672,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000861_af6d9a10e8c745bcd78fe4bb564317a2,0.3209249675273895,0.8006748557090759,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000250_3d19337ba6a30c2e3e7445d1e4746395,0.3568524122238159,0.827940046787262,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000927_28804716884a79f35cd3b1d30175cb74,0.45166298747062683,0.814732551574707,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000447_dae992206e59af73007a4ed0ebc46200,0.40000978112220764,0.8800878524780273,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000804_5669f68f162a9c02836c864b0beaa439,0.47070884704589844,0.8167685866355896,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000122_6b88b6cbd7dd3380aaff25e9c56b83e9,0.42174240946769714,0.812613308429718,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000753_b1de2d1c70576d6f3474c65cc6576793,0.40000978112220764,0.8800878524780273,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000380_2df5742a1a82386967592f5f4f97b391,0.23364205658435822,0.8229847550392151,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000258_d53256148388b19569c3403891454bab,0.35013890266418457,0.8163864016532898,high_dino_low_clip
00000061_aa91199b86c241ed1a6944f14ad5f403,00000337_57178a1afa81aee226bf3816756faa1f,0.40000978112220764,0.8800878524780273,high_dino_low_clip
00000012_8c3efaf313300be41724f6f27e005183,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.25699517130851746,0.8413074016571045,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000850_6c7732e1503f2c483f881879f818f4b6,0.25728362798690796,0.8647990822792053,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000639_f95b6fa338cebc7a9b47a84fcb0e2e84,0.28235509991645813,0.8524521589279175,high_dino_low_clip
00000101_64c40f2d5a7de307109ba7b6918310af,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.3627259433269501,0.8257718086242676,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000381_65fa1cb8a9a7d6455312d90c33793651,0.34885960817337036,0.8278346657752991,high_dino_low_clip
00000125_7a22c97a8ba578ebb2ffe4faa5842aee,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.2953675091266632,0.8019830584526062,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000351_b69adfd3392a72b4005262c48a9668b6,0.3871708810329437,0.8492239117622375,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000774_af280560dc88d157cbd3470cb18e0ed8,0.29662731289863586,0.8153274655342102,high_dino_low_clip
00000126_b34009ce089454f2910bd6fa2bc2004c,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.29281285405158997,0.8205063939094543,high_dino_low_clip
00000011_abe4da644f5be61a94f2161a36271c7a,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.21036499738693237,0.8047072887420654,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000428_764a67023e4eef41626072fad568d70f,0.4283256232738495,0.8348919153213501,high_dino_low_clip
00000017_d3e188e02db79f61c2f82613030e8d9a,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.2916995584964752,0.8683534860610962,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000281_680d8c533630bf3967b677a6d8b6c0dc,0.3452815115451813,0.8218288421630859,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000189_22c3938802af6e5b128b68e1aa31ae5c,0.4231509268283844,0.8634307980537415,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000570_1e1965e4ca1d6006eacf62dabd8ca556,0.22390307486057281,0.8119015097618103,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000836_0b42465cd49d6a8e20744cec9c82256e,0.19026079773902893,0.8172271251678467,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000180_f177f609fab746630d0749ffff4801e0,0.3750736117362976,0.8519902229309082,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000262_f42dfd61a818d2839f4d444eb7c54cd5,0.45109042525291443,0.8305777907371521,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000304_ae1b1a6733029ed4dd268d5e287b816f,0.30825647711753845,0.818446159362793,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000767_a594bd6664c2eb1fed070e5b5e7ac57b,0.47026678919792175,0.8198696970939636,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000463_e45f755fdaf1cc4813d51a43f3aa1a38,0.40666136145591736,0.8378384709358215,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000239_191c7920f8853aa774e8ce3cc4b187e5,0.273375004529953,0.8438467383384705,high_dino_low_clip
00000020_3860a6f991677cc94d1157756a4d5561,00000128_e1a3a23d7834f59be486f6e1b1f45cfe,0.33180421590805054,0.8144098520278931,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000522_4a8cb270c89064b663b22d7ffe3e2e7e,0.2590819299221039,0.8515946269035339,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000873_83dd4870e2a369d15dba6fba611afea9,0.33369097113609314,0.8443586230278015,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000612_f70aff3726a0dee452bfc5019b82e32b,0.31017014384269714,0.8272985219955444,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000668_4768cc0b6c365e7939b3c6e287e3cb4d,0.11677983403205872,0.8105024695396423,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000158_3ef93915b044fc329f3fbd922035c92e,0.2494276612997055,0.8349306583404541,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000530_35e6d5f0be4f38284e39526519071de8,0.2716900706291199,0.8010865449905396,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000489_08dc73eeeaa824b4de91462027357578,0.3467845320701599,0.8499618768692017,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000789_c3614a98eb75d0e46daa46e4b9134d30,0.33379048109054565,0.8534877896308899,high_dino_low_clip
00000128_e1a3a23d7834f59be486f6e1b1f45cfe,00000781_adb07375b32505a25e061effec016a8e,0.48061567544937134,0.8588709831237793,high_dino_low_clip
